,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
3847,Goa Dalli CID 999,Kannada,8,2 h 14 min,1968,NR,"Goa Dalli CID 999 is a 1968 Indian Kannada film, directed by Dorai-Bhagvan and produced by B Dorairaj, S K Bhagawan. The film stars Dr Rajkumar, Narasimharaju, Raghavendra Rao, Shakthi Prasad, Janakiram in lead roles. The film had musical score by G K Venkatesh."
3848,Shivaay,Hindi,6.2,2 h 33 min,2016,16+,"Shivaay, the father of a young girl who went missing from the streets of Bulgaria, defies all odds and exposes the child trafficking mafia. But will his efforts help him find his own daughter who is being forced into the horrific trade? How will a mountaineer from the foothills of the Himalayas fight against the powerful Russian mafia, in the quest to rescue his beloved daughter?"
3849,SPREAD a.k.a. TOYBOY,English,5.8,1 h 33 min,2010,18+,"Spread tells the story a high-end lothario, Nikki (Ashton Kutcher),who has slept his way into a life of privilege. Spread is an iconic look at the lure of sex,money & access that Hollywood offers to the beautiful people & the karmic price that Nikki must ultimately pay to live that lifestyle."
3850,The Super,English,5.7,1 h 25 min,2018,18+,"A bereaved former cop takes a job as a superintendent in a huge New York apartment building. His tenants begin to vanish, and he'll have to solve a series of cryptic riddles to find them."
3851,Chilakkottudu,Telugu,6.1,2 h 26 min,1997,NR,"Chilakkottudu is a 1997 Indian Telugu film, directed by E. V. V. Satyanarayana and Produced by M. Balaji Nagalingam. The film stars Jagapathi Babu, Rajendra Prasad, Ramya Krishna, Madhu Bala and Gouthami in lead roles. The music of the film was composed by Koti."
3852,Natun Diner Alo,Bengali,6.6,2 h 1 min,1973,NR,"Natun Diner Alo is a 1973 Indian Bengali film, directed by Ajit Ganguly and produced by Rakhal Chandra Saha. The film stars Soumitra Chatterjee, Sandhya Roy, Anup Kumar and Chinmoy Roy in lead roles. Music of the film was composed by Nachiketa Ghosh."
3853,Alo,Bengali,9,14min,2018,13+,"Based on a true incident, “Aalo” narrates the story of love that resists the uncertainties of life to blossom amidst the odds."
3854,Asa Mi Tasa Mi,Marathi,7,2 h,2020,All,"Mohan is a simple yet exceptionally gifted man who works in the village hospital. But when he finds himself being ignored because of his less-than-average looks, he decides to get a makeover. This film revolves around him and his villagers and also highlight the human tendency of giving more importance to the shallow side of life like fame and fortune as opposed to basic humanity."
3855,Amar Akbar Anthony,Telugu,4.3,2 h 27 min,2018,13+,"The film revolves around the hilarious turn of events in the lives of Amar, Akbar and Anthony which are played by Teja."
3856,Indhiran Chandhiran,Tamil,7.2,2 h 29 min,1989,All,A corrupt assistant of an equally corrupt mayor murders his boss and hides the body in a freezer. He finds a look-alike and forces him to pretend to be the mayor. The young man has a different agenda.
3857,Hasee Toh Phasee,Hindi,6.8,2 h 14 min,2014,13+,"An Indian romantic comedy about Nikhil (Sidharth Malhotra) who is very committed to his girlfriend Karishma (Adah Sharma), falls in love with her younger sister Meeta (Parineeti Chopra) but is too guilty to follow his heart. Whom will he choose ?"
3858,Ee Rojullo,Telugu,5.6,2 h 9 min,2011,All,"After being defrauded by a con woman who under the pretext of love robs Sri (Srinivas) of three lakh rupees, he begins to perceive all women as fraudsters whereas Shreya (Reshma) on the other hand starts hating all the men for misunderstanding her friendship for love. What happens when these two individuals meet forms the rest of the story."
3859,Hero,Tamil,6.4,2 h 38 min,2019,16+,"Set in Chennai sub-urbs, the story of ‘HERO’ missions a racy journey of Sakthi (Sivakarthikeyan) who takes it upon himself to safeguard the current education system, one that could potentially be the most rewarding to all stakeholders in society, from the ensuing conflicts that erupts between him and Mahadev (Abhay Deol), the gatekeeper of corporate lobbying."
3860,Police Force : An Inside Story,Hindi,4.5,2 h 16 min,2004,18+,"Police Force : An Inside Story Is A Hindi Action Movie, Directed By Dilip Shukla, Starring Akshay Kumar, Raveena Tandon, Amrish Puri And Mohan Joshi In The Lead Roles. Pandey, A Police Academy Trainer, Is Assigned The Duty To Train A Group Of New Recruits. However, The Recruits Have To Make A Tough Decision That Could Make Or Break Their Careers In The Force."
3861,Pikuli,Marathi,None,1 h 55 mins,2013,All,"The movie comments on an issue of birth of girl child in villages. A married woman, who gives birth to second girl child 'Pikuli', is harassed by her mother-in-law as she always insisted to have grandson. Mother-in-law plans her moves and one day suddenly Pikuli gets disappeared. Finally all come to know that Pikuli is safe and has been adopted by a noble man and his family."
3862,Banarasi Thug,Hindi,6.1,2 h 25 min,None,All,"Shyam travels to another town to meet the girl his mother would like him to marry. On his way, he meets a villager who traps Shyam in his home, with a view to force Shyam to marry his daughter."
3863,Meghmallar,Bengali,7.8,1 h 32 min,2020,13+,The lives of a chemistry teacher and his family turns upside down as the 1971 Liberation War begins in Bangladesh.
3864,Chal Mera Putt,Punjabi,7.3,2 h 3 mins,2019,All,"A lighthearted comedy about a group of illegal Punjabi immigrants living in the City of Birmingham trying to better their lives. Chal Mera Putt explores the struggles they face, the lasting friendships they make and the challenges they over come all whilst trying to get their PR."
3865,Brahmachari,Hindi,6.8,2 h 27 min,None,13+,"Abandoned as a child, Brahmachari lives in a mortgaged house with twelve young orphans. He saves a woman from dying and she changes his life forever. But first she has to deal with her own affairs."
3866,Karm Yudh,Hindi,None,2 h 4 min,1984,13+,"An honest and diligent police officer is killed and her wife, Geeta, ensures that their son Vijay avenges his death. Embroiled in a web of treachery and politics, can Vijay accomplish his goal."
3867,Wadi Rum,English,None,33min,2019,13+,Watch the journey of two Israeli climbers who are trying to conquer a mountain in Jordan’s Wadi Rum national park through an uncharted course.
3868,Fashion Designer S/o Ladies Tailor,Telugu,5.6,2 h 1 min,2017,18+,"Gopalam is a small-time tailor who dreams of becoming a fashion designer. This is also the time when yet another rich girl called Ammulu falls head over heels for Gopalam. But the twist in the tale arises when a rich NRI enters the Scene.Gopalam changes track and traps her somehow. Now, he is stuck between the three girls and rest of the story is as to whom does he end up with at the end"
3869,Dune,English,6.5,2 h 16 min,1984,13+,This is the saga of Intergalactic warrior Paul Atreides and his messianic rise to lead his people and their struggle for survival. The young hero leads his warriors against an evil baron and tries to destroy a galaxy-wide trade in 'spice.'
3870,Eega,Telugu,7.7,2 h 13 min,2012,13+,"Nani loves Bindu but is killed by a jealous Sudeep, who lusts after Bindu. Nani is reincarnated as a fly and decides to avenge his death. He teams up with Bindu to make Sudeep's life a living hell."
3871,Tu Tithe Mee,Marathi,7.6,2 h 32 mins,1998,All,"This is the story of Nanasaheb Date. Post retirement he realizes that he has missed out on simple pleasures of life while attending to his duties & responsibilities. He decides to enjoy whatever has been left out, with his wife. The sons decide; that father should stay back with the elder son, while mother should accompany the younger. Parents are disappointed with this decision of separation."
3872,Terminator Salvation,Tamil,6.5,1 h 54 min,2009,13+,"Set in post-apocalyptic 2018, John Connor is the man fated to lead the human resistance against Skynet and its army of Terminators. But the appearance of Marcus Wright changes everything."
3873,Cloudy with a Chance of Meatballs,Tamil,6.9,1 h 29 min,2009,7+,Focuses on a town where food falls from the sky like rain.
3874,No Man’s Zone,English,None,1 h 45 min,2011,NR,"A man wanders through the 20-kilometre exclusion zone around the stricken nuclear reactors at Fukushima. The cherry trees are in bloom and the natural surroundings make an idyllic impression. Radiation is invisible, yet a gaping emptiness looms where the tsunami engulfed streets and houses."
3875,Tejasvini 2,Hindi,None,1 h 29 min,2020,13+,"A diligent and determined police officer, sets out to catch the culprit who raped Arasi, an underage girl who is being hidden by her uncle and his henchmen."
3876,Dada Thakur,Bengali,6.2,2 h 33 min,2017,13+,"The story of a woman's search for her long-lost father, starring Ranjit Mallick, Victor Banerjee, and Arpita Pal."
3877,Bal Ganesh 2 (Kannada),Kannada,None,1 h 13 min,2009,All,"Bal Ganesh 2 is the sequel of 2007 animated film Bal Ganesh. The elephant god who is adored and worshipped by millions worldwide, was once a naughty child. The film explores new adventures of Bal Ganesh and shows how he rose to the rank of Gods."
3878,Aadhaaram,Malayalam,7.1,2 h 13 min,1992,All,Bapputty s a convict who is released from jail after serving his sentence. The film tells the story of his attempts to build back his life and his accidental interference in the family affairs of Rameshan  and his sister Sethulakshmi.
3879,Section 375,Hindi,8.1,2 h 3 min,2019,13+,"A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence."
3880,Overcomer,Tamil,6.7,1 h 59 min,2019,7+,Life changes overnight for Coach John Harrison when his high school basketball team and state championship dreams are crushed under the weight of unexpected news.
3881,Bodyguard,Telugu,8.1,2 h 28 min,2012,All,"Venkatadri (Venkatesh) is appointed as bodyguard to Keerthi (Trisha Krishnan),daughter of Varadarajula (Prakash Raj). Keerthi starts disturbing Venkatadri by calling him with a fake identity & expresses fake crush. Venky & the girl fall for each other. While Keerthi is about to reveal reveal her identity,her father fixes her marriage. What is the next twist? Will Venkatadri & Keerthi get married?"
3882,The Wizard of H2O,English,None,53min,2019,13+,Mineral engineer Alain Gachet and his team have discovered the way to find the enormous water reserves deep inside earth’s crust. This could well end the global water crisis but will there a fight to claim the resources by nations? Watch the film which highlights these issues and also features Gachet's technological innovations.
3883,Mr Joe B. Carvalho,Hindi,3.6,1 h 57 min,2014,13+,"A small time detective, Mr. Joe (Arshad Warsi) is on the look out for a challenging case that can bring him money and fame. He is eventually hired to bring back the eloped daughter of a businessman. Although dissatisfied with the assignment, Joe takes it up and gets mistaken for a deadly terrorist. People are on his chase, whereas a clueless Joe ends up spying on the wrong girl."
3884,Kollura Sri Mookambika,Kannada,None,2 h 17 min,1993,NR,"Kollura Sri Mookambika is a 1993 Indian Kannada film, directed and produced by Renuka Sharma. The film stars Sridhar, Bhavya and Vajramuni in lead roles. Music of the film was composed by P. Mahadevan."
3885,Egaro - The Eleven,Bengali,None,1 h 57 min,2011,All,"Egaro is a tribute to the brave and spirited Mohun Bagan Eleven who won the prestigious IFA Shield against the British opponents, East Yorkshire Regiment, in 1911 when India was still under British Raj. The film runs along different levels - tracing the preparation for the football match and the underground movement following the Partition of Bengal and the hanging of Khudiram Bose."
3886,TE3N,Hindi,7.3,2 h 9 min,2016,13+,"It's been 8 years since John Biswas lost his granddaughter, Angela, in a tragic kidnapping incident but he hasn't given up his quest for justice. One day, there's another kidnapping & everything about it echoes of similarity with Angela's kidnapping. TE3N is a gripping thriller that brings together these two parallel investigations & builds up into an explosive, emotionally-charged film."
3887,Rupkatha Noy,Bengali,6.9,1 h 50 min,2013,NR,"Sisir Roy, a 72-year-old man goes to the park and interacts with different people. Over a period of time, 4 young people become acquainted with him. Sisir is left completely alone after his son and daughter in law shift to Meerut and finds solace in his newfound friends as his family. His life enters a series of complexities trying to guide young minds and ease their lives."
3888,Yellow Roads: Italy - Amalfi Coast & Capri,English,None,26min,2020,13+,"While the North of Italy is more popular, it is more commercialized. Duran is accompanied by Claudio Mollo as he explores the soul and spirit of South Italy. The journey starts from Capri and ends in Amalfi and showcases everything in between."
3889,Dostigiri,Marathi,7.1,2 h 13 mins,2018,13+,"The lives of four carefree college-going friends take a drastic turn when one of them is killed while trying to stop an arrogant politician's son, studying in their college, from harassing their classmate."
3890,Mission Tiger,Hindi,4.8,1 h 23 min,2016,NR,"The forests of Uttaranchal used to be tiger domain. But now, haunted by hunters, the great beasts walk in fear. Based on the real-life story of Indian Uttaranchal Forest Service Officer TR Bijulal, Mission Tiger traces the story of one man’s dedication to save India’s national animal from poachers and the international trade mafia."
3891,Ek Jhank Ichhe Dana,Bengali,None,1 h 45 min,2017,13+,"A Bengali film that narrates the about the crises and problems of students, as the young adults learn to deal with life."
3892,Downsizing,English,5.7,2 h 15 min,2017,18+,"When scientists find a way to shrink humans to five inches tall, Paul and his wife decide to get small and live large in a luxurious downsized community. With endless possibilities in the tiny world, Paul realizes we are meant for something bigger."
3893,Mar Jaris,English,None,26min,2019,13+,"Visit the historical Mar Jaris, a rare and ancient monastery so famous in the world that it still attracts monks. Open to women, the monastery is famous for being the place where St Joachim prayed and fasted for 40 days for the birth of Mary. Experience the serenity and the peace of the 4th century structure."
3894,Jumanji: The Next Level,Tamil,6.6,2 h 3 min,2019,13+,"In Jumanji:The Next Level, the gang is back (Dwayne Johnson, Jack Black, Kevin Hart and Karen Gillan) but the game has changed."
3895,Ajanabee,Hindi,6.5,2 h 18 min,1974,All,"Middle-classed young & dashing Rohit falls in love with wealthy & lovely Reshmi, & both decide to get married. Reshmi's dad, Diwan Sardarilal is strongly opposed to this marriage. Pregnant Reshmi decides not to have the baby after she wins a beauty pageant. But Rohit doesn't agree, so she walks out of the marriage. The film stars Rajesh Khanna and Zeenat Aman .Music is by R.D. Burman is a hit."
3896,Bhasan,Bengali,None,13min,2020,13+,Two lovers across the Indo-Bangladesh border travels to meet each other on Dashami when the partition is lifted.
3897,Cobb,English,6.4,2 h 8 min,1994,18+,"A journalist needing a career boost agrees to write a biography of a tyrannical, dying sports hero. Cobb's unpleasant reputation proves to be true, but the reporter discovers the baseball players human side as well."
3898,Bal Ganesh And The Pomzom Planet,Hindi,5.2,1 h 19 min,2017,All,"Bal Ganesh And The Pomzom Planet' is a wonderful animation movie about Bal Ganesh's journey to a different planet. It all starts when his friend Mooshak plans to go to a planet named Zeba with his friends, but accidently his spaceship crashes and they land on a planet named Pomzom where his group is held captive. Watch how Bal Ganesh and his brother Kartikey go on to mission to rescue them"
3899,Zara Sambhal Ke,Hindi,None,1 h 54 min,2014,NR,This movie potrays the life of the sex workers and their children. It also exhibits the problem of HIV& AIDS in sex worker and to the society. Naina the central character of this movie comes from village to a town in search of living along with her husband and son surya. After the death of her husband she turns into a sex worker for earning. Mangala her friend is open minded and courageous g ...
3900,Captain Fantastic,English,7.9,1 h 54 min,2016,18+,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
3901,My Brother Nikhil,Hindi,7.2,1 h 57 min,2005,All,"This film is set in Goa between 1986 and 1994. Nikhil Kapoor (Sanjay Suri) is the state all round swimming champion. His father Navin Kapoor (Victor Banerjee) has raised his son to be a sports man, a dream that he never achieved for himself. His elder sister Anamika (Juhi Chawla) teaches in a primary school and loves him dearly. His mother Anita Rosario Kapoor (Lillete Dubey) adores him."
3902,Kaanal Neer,Tamil,6.5,1 h 43 min,2019,All,"The movie is about a widowed mother struggling to raise her child in the city alone. After losing her husband in an accident, the widow must face many challenges with her child in the city, for a piece of land to live. The film is the world's first charity film and is made under the CSR films category. The movie also vies for nominations in the Best Picture category at the Oscars."
3903,Vamsha Vriksha,Kannada,8.3,2 h 38 min,1972,NR,"Vamsha Vriksha is a 1972 Indian Kannada film, directed by B. V. Karanth and Girish Karnad and produced by G.V Iyer. The film stars Venkata Rao Talegiri, B. V. Karanth, Sharada, Girish Karnad, Chandrashekhar, Uma Shivakumar, G. V. Iyer, Vishnuvardhan in lead roles. The film has musical score by Bhaskar Chandavarkar."
3904,Tholakari,Telugu,None,1 h 35 min,2012,NR,"Tholakari is a 2012 Indian Telugu film, directed by Trinetra and produced by A Trinetra Konda. The film stars Sri KrishnaTeja, Dharani and Sowmya in lead roles. Music of the film was composed by Chinni."
3905,Yamam,Malayalam,None,1 h 21 min,1999,NR,"Yamam is a 1999 Indian Malayalam film, directed by Sree and produced by D Sajith. The film stars Shakela, Mariya, Reshma and Hema lead roles. The music of the film was composed by S P Bhoopathi."
3906,Vishwasghat,Gujarati,5.3,2 h 30 min,2014,13+,"""Dimple, the daughter of a rich business men falls in love with a guy, not matching to their family standards. With so many obstacles in their journey, will their love story blossom?"""
3907,Prem Priti Bhalobasha,Bengali,None,1 h 56 min,1999,NR,"Milan is an intelligent student and also a great singer. He falls in love with Swapnalini, another beautiful singer and confides his feelings into his best friend Indra. Indra comes to the rescue of his shy friend and approaches Swapnalini for his friend however Swapnalini falls for him instead of Milan. Swapnalini’s roommate Rama loves Apurba who again loves Swapnalini secretly. Swapnalini ..."
3908,Annabelle Comes Home,Hindi,5.9,1 h 46 min,2019,18+,"After being locked behind sacred glass in the Warren's artifacts room, Annabelle awakens the evil spirits in the room, who set their sights on the Warrens’ daughter and her friends."
3909,Battle for Incheon: Operation Chromite,English,6.2,1 h 46 min,2016,18+,A team of spies is sent into Incheon to gain intelligence on North Korean positions ahead of the invasion by UN forces.
3910,The Rhythm Section,English,5.3,1 h 49 min,2020,18+,"Blake Lively and Jude Law star in this action-packed thriller from the producers of James Bond. After finding out her family's death was not an accident, Stephanie (Lively) transforms from victim to assassin, seeking revenge on those responsible."
3911,Marhi Da Deeva,English,7.6,2 h 4 min,1989,NR,"Jasbir, the son of the sharecropper, Thola, is treated as a brother by the landlord Dharam Singh. The landlord’s son, however, does not continue this family tradition. As Jasbir’s mother belongs to a nomed caste, the hero’s love for the bride of the impotent barber Nika is fraught with problems."
3912,King,Kannada,6.8,2 h 2 min,1998,NR,"King is a 1998 Indian Kannada movie directed by Srikanth Kulkarni and produced by H V Sadanand. The film stars Tiger Prabhakar, Arun Pandian, Rajeshwari, Vichithra, Anju, Jyothi Meena, Dheerendra Gopal in lead roles. The film had musical score by Devu."
3913,See No Evil 2,English,4.7,1 h 30 min,2014,16+,"A surprise birthday party in a city morgue turns into a grisly nightmare when the one-eyed corpse of brutal psychopath Jacob Goodnight unexpectedly rises from the dead in this blood-soaked sequel to See No Evil, directed by the notorious Soska sisters."
3914,Kalathur Gramam,Tamil,6.5,2 h 16 min,2017,13+,"In a village called Kalathur Gramam, located in the small town of Pattukkottai, which in turn is located in the Thanjavur district of Tamil Nadu, lives a pair of father and son. They have been in a dispute with each other, however, for three long decades, starting from the 1970s until the 1990s."
3915,Heaven and Earth,English,None,2 h 21 min,1994,18+,"The true story of one woman's journey from a desperate childhood in the war-torn country of Vietnam, through her life as an American war bride and beyond."
3916,2014 Rajkaran,Marathi,5.8,1 h 55 mins,2011,All,"2014 Rajkaran' advocates the idealistic ideology of both the warring scions, Raj (Prasad Oak) & Uddhav (Sudesh Mhashilkar) joining hands and bringing 'Shivrajya' to Maharashtra."
3917,Vadaladu,Telugu,4.4,2 h 7 min,2019,13+,"Vadhaladu is about Jagan (Siddharth) a sincere food safety officer who traces out a huge food adulteration scam. He falls in love with a school teacher Jyothi (Catherine Tresa) and has a hard time convincing her for marriage. When everything seems to be going fine, all the businessmen busted by Jagan start dying one after the other in paranormal circumstances."
3918,Bombay,Tamil,8.1,2 h 20 min,1995,All,A Lover's belonging to different faith elopes to Bombay seceding opposition from traditional bound parents. The happy couple with twin son faces a can of worms at the rocking of communal riot in Bombay. How the family and the city endures through this hellish ordeal is 'Bombay.'
3919,Mighty Raju: Chakde,Hindi,None,1 h 7 min,2019,All,"Raju and his friends watch a cricket match at Aryanagar, while Karati and his goons plan to kidnap the minister and cause a lot of problems. Will this affect the Aryanagar cricket team? How will Mighty Raju save the day?"
3920,Kati Patang,Hindi,7.2,2 h 40 min,1971,All,"The film stars Asha Parekh as a woman pretending to be a widow, and her ensuing trials and tribulations opposite her charming neighbour played by Rajesh Khanna. The film  is the second of four films in which he was paired with Parekh. music by was a huge hit. It was a box office success. Asha Parekh Received the filmfare Best Actress award."
3921,Laboratory,Bengali,5.6,1 h 35 min,2018,13+,"Based on Tagore’s works, Rebati is attracted to Neela’s seductive charms, the outcome of which leads to an unlikely conclusion. Watch the full movie on Hoichoi."
3922,Yodha,Punjabi,6.9,1 h 57 mins,2014,13+,"Yoddha The Warrior is the story of a warrior who rises to revenge wrongdoers, with Rahul Dev essaying the role of a antagonist."
3923,Jab Tum Kaho,Hindi,5.6,1 h 32 min,2016,13+,"Jab Tum Kaho Is A Romantic Hindi Movie, Directed And Produced By Vikram Shankar. A Man, Who Was Once Jovial, Leads A Lonely And Mechanical Life. His Life Changes When He Falls In Love."
3924,Kadhalum Katru Mara,Tamil,None,2 h 4 min,2007,NR,"Kadhalum Katru Mara is a 2007 Indian Tamil film, directed by Suriya Selvan and produced by Vilai B Palani. The film stars Udhaya, Vikasini, Anandraj, Ponnambalam, Livingston, Anu Mohan in lead roles. Music of the film was composed by Isai Vaanan."
3925,Prem Tapasya,Hindi,6.1,2 h 17 min,1983,NR,"Mohan falls in love with beautiful Devi and professes his love for her. Devi initially rejects and humiliates Mohan but later accepts his marriage proposal on learning about his true feelings. Meanwhile, Devi’s brother Dr.Nandlal finds a reason to stall their marriage but this doesn't deter Devi who asks Mohan to marry her secretly. What follows is a cruel twist of fate."
3926,Sabse Bada Rupaiya,Hindi,6.7,2 h 15 min,1976,All,"Amit Rai, a generous multi-millionaire, despite being warned, ends up helping people in crisis. However, the same people refuse to help him in his difficult times."
3927,Logan Lucky,Tamil,7,1 h 58 min,2017,16+,"The Logan brothers, Jimmy and Clyde, plan an elaborate scheme to successfully rob a racing circuit in North Carolina, USA, and evade the authorities."
3928,Dulhan Hyderabadi,Hindi,None,1 h 53 min,2018,NR,"Dulhan Hyderabadi is a 2018 Indian Urdu film, directed by Anand Kodavatiganty. The film stars Ahsan Khan, Aziz Rizwan, Keertana and Preethi Nigam in lead roles."
3929,Aappan Pher Milange,Punjabi,4.3,2 h 17 mins,2021,13+,College mates Gulab and Rajdeep fall in love with each other and plan to get married. But Gulab's parents oppose the alliance and marry her off to a Canada based NRI.
3930,Seethakoka Chilaka,Telugu,7.7,2 h 27 min,1981,All,"Raghu (Karthik) belongs to a poor Hindu family. His mother teaches music to make a living. Karuna (Aruna), the sister of a rich, influential Christian man returns home a year after pursuing her education in the city. Karuna starts learning music from Raghu's mother. Gradually, Raghu and Karuna fall in love. How the lovers unite braving all the obstacles forms the plot of Seethakoka Chilaka"
3931,Kintu Galpo Noy,Bengali,None,1 h 51 min,2018,NR,"Shikha, a college student, is admitted to the renowned Students Health Home (SHH) in Kolkata following recurring bouts of illness. There, she meets Deep, a troubled high-schooler who was injured in a bomb blast and hails from a dysfunctional family. The two soon strike a chord, with Shikha becoming something of an elder sibling to Deep. Unfortunately, fate has worse things planned for Deep, ..."
3932,Operation Diamond Racket,Kannada,7.2,2 h 45 min,1978,NR,An undercover agent sets out on a mission to dismantle a diamond smuggling network that plagues the country.
3933,Eklavya: The Royal Guard,Hindi,6.1,1 h 47 min,2007,All,"Eklavya: The Royal Guard Is A Bollywood Hindi Action Movie, Starring Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt And Vidya Balan In The Lead Roles. The Film Was Chosen As India's Official Entry To The Oscars. Eklavya, A Guard, Is Entrusted The Responsibility Of Safeguarding The Lives Of The Members Of A Royal Family. He Tries His Best To Do So And Keep Their Secrets Safe."
3934,1920: Evil Returns,Hindi,4.8,1 h 59 min,2012,18+,"Jaidev, a famous poet, meets a girl who has no recollection of her past. He brings her home and tries to help her. However, the woman is soon possessed by a spirit and things spiral out of control."
3935,Mayabazar - 1957,Kannada,5.8,2 h 55 min,1957,NR,"Balarama promises Subhadra to get his daughter married to her son. When he loses his kingdom to the Kaurava's, Balarama has no choice but to break his promise."
3936,Aggi Barata,Telugu,6.2,2 h 10 min,None,All,"In a Kingdom Amaravathi, ruled by King Amarasimha (Mikkilineni Radhakrishna Murthy), Gajapathi (SV Ramadas) a chief commander intention is to marry the princess Vasavi (Rajasree) and grab the kingdom. Gajapathi tries to kill Amarasimha, but he is secretly protected and hidden in a cave. A young warrior Raja (NT Rama Rao) suspects Gajapathi's dual face and saves the king along with the kingdom."
3937,The Wild Horse Redemption,English,7.6,53min,2019,13+,"Prisoners of Colorado's Centennial Correctional Facility get an opportunity to do-over by entering the Wild Horse Inmate Program. In this program, they are given just three months to tame wild Mustang horses and change their behaviors. Achieving this goal gives the inmates a chance at redeeming themselves in their own eyes."
3938,Chathurangal,Malayalam,None,25min,2017,All,Chathurangal is a story of a woman living in a small town in India. Chathurangal revolves around her vehemently holding her ground against a very deep-rooted orthodox society.
3939,Dhoom:3,Hindi,5.4,2 h 50 min,2013,13+,"The favourit Indian action franchise is back. This time Jai Dixit (Abhishek Bachchan) & Ali (Uday Chopra) return to match their wits with the enigmatic clown thief, Sahir (Aamir Khan),who has the city of Chicago in his thrall. In this battle of revenge & dignity, the lines blur and the conventional definition of good & bad don't apply.Prepare to watch a spectacle that will thrill you and move you."
3940,Yeti Obhijaan,Bengali,4.2,2 h 6 min,2018,13+,"A film starring Prosenjit Chatterjee, about Kakababu’s adventures in the Himalayas as looks for a mythical beast, Yeti!"
3941,Gravity,Hindi,7.7,1 h 30 min,2013,13+,"Winner of 7 Academy Awards®, including Best Director! Astronauts Ryan Stone and Matt Kowalski are on a routine spacewalk when disaster strikes. Their shuttle is destroyed, leaving them alone in space - tethered to nothing but each other."
3942,Raman Raghav 2.0,Hindi,7.4,2 h 8 min,2016,18+,"Set in present day Mumbai, the story follows the life of a serial killer Ramanna, who is inspired by an infamous serial killer from the 1960s Raman Raghav. His strange obsession with Raghavan, a young cop keeps growing as he closely follows him without his knowledge and often creates situations where both of them come face to face."
3943,Saaya,Tamil,1.4,2 h 14 min,2017,All,"Santhosh Khanna lives with his mother and sister. Gayatri is his fiancee. Santhosh gets involved in a conflict with the landlord's son (Karate Raja). Meanwhile, he meets a sage who bestows him with a super power of waking up the dead on one condition that it will be for noble causes only. Due to this divine gift, he gets into trouble. How he handles this situation is the rest of the movie."
3944,16 VAYATHINILEY,Tamil,8,2 h 12 min,1977,All,The movie revolves around the struggle and vulnerability of 16-year old Mayil (Sridevi) when in love.
3945,Don't Look,English,2.8,1 h 10 min,2019,18+,"Five friends from New York City embark on a rural getaway for a holiday vacation, but they soon find themselves targeted by a local, murderous psycho after they invite a strange local couple to their holiday dinner. One by one the friends are stalked and killed, as the truth about the farm they are visiting comes to light."
3946,Mahaprithibi,Bengali,None,1 h 39 min,2018,13+,"When an aged woman commits suicide, the mystery behind it unfurls her family members’ secrets that led her to end her life."
3947,The Mechanic,Tamil,6.6,1 h 28 min,2011,18+,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.
3948,Janani Janmabhoomi,Kannada,7.9,2 h 22 min,1997,NR,"Janani Janmabhoomi is a 1997 Indian Kannada film, directed by H R Bhargava and produced by S Shankar. The film stars Harsha Vardhan, Aruna Pandyan and B Saroja Devi in lead roles. Music of the film was composed by Rajan Nagendran."
3949,Dhoom:2,Hindi,6.5,2 h 31 min,2006,13+,"DHOOM:2 reinvents the action comedy genre and propels it into the 21st century. Ali (Uday Chopra) is now ACP Jai Dixit’s (Abhishek Bachchan) right-hand man. Enter Mr.A (Hrithik Roshan), a high tech international thief whose next target is Mumbai. Once in Mumbai, Mr.A finds his match in Sunehri (Aishwarya Rai), a clever thief. She makes him an offer he finds hard to refuse. And so the game begins."
3950,Mission: Impossible II,English,6.1,2 h 3 min,2000,16+,"The world’s greatest spy, Ethan Hunt, returns and partners up with the beautiful Nyah Hall to stop renegade agent Sean Ambrose from releasing a new kind of terror on an unsuspecting world."
3951,Kroadh,Hindi,5.1,2 h 26 min,1990,18+,"Kroadh Is An Action Packed Hindi Movie, Directed By Shashilal K. Nair, Starring Sanjay Dutt, Sunny Deol And Amrita Singh In The Lead Roles. Ajay And Vijay Get Into The World Of Crime In Order To Find Their Mother's Killer. However, Ajay Soon Leaves It All Behind To Join The Police But Is Unable To Convince His Brother To Do The Same."
3952,Europe: Coast to Coast,English,None,30min,2020,13+,"Extreme athlete Wolfgang Fasching has done it all. By the age of 50, he has won the Race Across America thrice, completed the daunting Russia Coast to Coast project and mastered the seven highest summits of the world. But his hunger for adventure led him to a new task - cycle 5,500 kms across Europe in 12 days. Can he overcome physical limitations and unforeseen challenges to set a world record?"
3953,The Wedding Church in Cana,English,None,26min,2020,13+,"Find out interesting facts behind the Wedding Church at Cana in Israel. The church is small in comparison to others in the Holy Land, it holds fascinating pieces of history in it, including the belief that it once housed a Jewish synagogue. Watch the beautiful shrine in this documentary."
